Time [s],Channel 1
5.242452667,0
5.242554583,1
5.242656083,0
5.242757958,1
5.242859458,0
5.242961375,1
5.243062875,0
5.243164750,1
5.243266250,0
5.243368167,1
5.243469667,0
5.243571542,1
5.243673042,0
5.243774958,1
5.243876458,0
5.243978333,1
5.244079833,0
5.244181750,1
5.244283250,0
5.244385167,1
5.244486667,0
5.244588542,1
5.244690083,0
5.244791958,1
5.244893458,0
5.244995375,1
5.245096875,0
5.245198792,1
5.245300292,0
5.245402167,1
5.245503667,0
5.245605583,1
5.245707083,0
5.245809000,1
5.245910500,0
5.246012375,1
5.246113875,0
5.246215792,1
5.246317250,0
5.246419167,1
5.246520667,0
5.246622583,1
5.246724083,0
5.246826000,1
5.246927500,0
5.247029375,1
5.247130875,0
5.247232792,1
5.247334292,0
5.247436208,1
5.247537708,0
5.247639625,1
5.247741125,0
5.247843000,1
5.247944500,0
5.248046417,1
5.248147917,0
5.248249792,1
5.248351292,0
5.248453208,1
5.248554708,0
5.248656625,1
5.248758125,0
5.248860042,1
5.248961542,0
5.249063417,1
5.249164917,0
5.249266833,1
5.249368333,0
5.249470250,1
5.249571750,0
5.249673667,1
5.249775167,0
5.249877083,1
5.249978583,0
5.250080458,1
5.250181958,0
5.250283875,1
5.250385375,0
5.250487292,1
5.250588792,0
5.250690708,1
5.250794292,0
5.250898292,1
5.251001833,0
5.251105833,1
5.251209417,0
5.251313417,1
5.251416958,0
5.251520958,1
5.251624542,0
5.251728542,1
5.251832083,0
5.251936083,1
5.252039667,0
5.252143667,1
5.252247250,0
5.252351208,1
5.252454792,0
5.252558750,1
5.252662333,0
5.252766333,1
5.252869917,0
5.252973875,1
5.253077458,0
5.253181458,1
5.253285000,0
5.253389000,1
5.253492542,0
5.253596542,1
5.253700125,0
5.253804083,1
5.253907667,0
5.254011667,1
5.254115250,0
5.254219208,1
5.254322792,0
5.254426792,1
5.254530333,0
5.254634333,1
5.254737917,0
5.254841875,1
5.254945458,0
5.255049458,1
5.255153042,0
5.255257000,1
5.255360583,0
5.255464542,1
5.255568125,0
5.255672083,1
5.255775667,0
5.255879667,1
5.255983208,0
5.256087208,1
5.256190792,0
5.256294750,1
5.256398292,0
5.256502292,1
5.256605875,0
5.256709833,1
5.256813417,0
5.256917375,1
5.257020958,0
5.257124958,1
5.257228500,0
5.257332500,1
5.257436083,0
5.257540083,1
5.257643667,0
5.257747625,1
5.257851208,0
5.257955167,1
5.258058750,0
5.258162750,1
5.258266292,0
5.258370292,1
5.258473875,0
5.258577833,1
5.258681417,0
5.258785375,1
5.258888958,0
5.258992958,1
5.259096500,0
5.259200500,1
5.259304083,0
5.259408083,1
5.259511625,0
5.259615625,1
5.259719208,0
5.259823208,1
5.259926750,0
5.260030750,1
5.260134333,0
5.260238292,1
5.260341875,0
5.260445833,1
5.260549417,0
5.260653417,1
5.260757000,0
5.260861000,1
5.260964542,0
5.261068542,1
